Book_Name,Author,Rating,Number_of_Reviews,Price,Description_Clean,Listening_Time_Minutes,Genres,Rating_Category,Price_Category,Length_Category,Popularity_Score,Description_Length,Data_Source,Description_Processed,Title_Processed,Genres_Text,Combined_Text,Cluster_KMeans,Cluster_DBSCAN,PCA_1,PCA_2,TSNE_1,TSNE_2
101 Amazing Facts About the Royal Family,Jack Goldstein,2.6,15,152.0,"Are you a fan of the modern generation of royals? How much do you know about the lives of Prince William; his wife, Catherine, Duchess of Cambridge; and the rest of the royal family?",30.0,"['#29', '652 in Audible Audiobooks & Originals', 'Biographies of Royalty', '#48', '605 in Biographies & Autobiographies', '#422', '865 in Textbooks & Study Guides']",Below Average,Low,Short,2.7725887,182,both,fan modern generation royal much know life prince william wife catherine duchess cambridge rest royal family,amazing fact royal family, audible audiobooks original biography royalty  biography autobiography  textbook study guide,amazing fact royal family fan modern generation royal much know life prince william wife catherine duchess cambridge rest royal family  audible audiobooks original biography royalty  biography autobiography  textbook study guide,2,0,0.03692690853751746,-1.9172367504627663,14.5734005,11.763546
101 Amazing Facts About Trees,Jack Goldstein,5.0,1,152.0,How can you use a tree as a compass? What on earth makes maple trees explode? Where is the tallest tree in the world? And how can a tree own itself?,35.0,"['#29', '657 in Audible Audiobooks & Originals', 'Audiobooks on Flowers & Trees for Children', 'Botany & Plants', '#14', ""830 in Children's Science"", 'Nature & Technology']",Excellent,Low,Short,0.6931472,148,both,use tree compass earth make maple tree explode tallest tree world tree,amazing fact tree, audible audiobooks original audiobooks flower tree child botany plant  child science nature technology,amazing fact tree use tree compass earth make maple tree explode tallest tree world tree  audible audiobooks original audiobooks flower tree child botany plant  child science nature technology,2,0,0.17580185988772365,-1.4888757425325279,9.087033,4.814362
101 Amazing Facts About William Shakespeare,Jack Goldstein,4.5,0,152.0,Did you know that Shakespeare introduced thousands of words into the English language? Do you know what unusual item he left to his wife in his will? Have you heard of the conspiracy theory that suggests Shakespeare didn't write the plays we attribute to him today?,26.0,"['#29', '653 in Audible Audiobooks & Originals', 'Historical Biographies', 'Literary History & Criticism', '#19', '105 in Literary Theory', 'History & Criticism']",Excellent,Low,Short,0.0,265,both,know shakespeare introduced thousand word english language know unusual item left wife heard conspiracy theory suggests shakespeare play attribute today,amazing fact william shakespeare, audible audiobooks original historical biography literary history criticism  literary theory history criticism,amazing fact william shakespeare know shakespeare introduced thousand word english language know unusual item left wife heard conspiracy theory suggests shakespeare play attribute today  audible audiobooks original historical biography literary history criticism  literary theory history criticism,2,0,0.7901851383922345,-1.9326931587134808,-12.585501,27.713694
101 Animals Stories,Dreamland Publications,4.3,560,233.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",490.0,[],Very Good,Low,Long,6.329721,122,both,sorry need make sure robot best result please make sure browser accepting cooky,animal story,,animal story sorry need make sure robot best result please make sure browser accepting cooky,2,0,-0.17659383427950565,-3.4173740360291887,-24.184021,-20.459152
101 Best Indian Fables for Children,Stuti Gupta,3.7,23,233.0,Would you like to meet the ferocious king of the jungle? How about listening to the story of the cunning fox that talks its way out of tricky situations? Wonder what the little monkey is doing with the looking glass? Or what the peacock and crow are fighting over?,146.0,"['958 in Audible Audiobooks & Originals', 'Fairy Tales', 'Folk Tales & Myths for Children', 'Literature & Fiction for Children', ""094 in Children's Traditional Stories""]",Good,Low,Short,3.1780539,264,both,would like meet ferocious king jungle cunning fox talk way tricky situation wonder little monkey looking glass peacock crow fighting,best indian fable child,audible audiobooks original fairy tale folk tale myth child literature fiction child child traditional story,best indian fable child would like meet ferocious king jungle cunning fox talk way tricky situation wonder little monkey looking glass peacock crow fighting audible audiobooks original fairy tale folk tale myth child literature fiction child child traditional story,2,0,0.19345392013727405,-2.540852930140736,-40.0879,-2.281955
101 Essays That Will Change the Way You Think,Brianna Wiest,4.5,104,586.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",490.0,[],Excellent,Medium-Low,Long,4.65396,122,both,sorry need make sure robot best result please make sure browser accepting cooky,essay change way think,,essay change way think sorry need make sure robot best result please make sure browser accepting cooky,2,0,0.030982465659332065,-3.417246142880052,-14.126091,-36.129284
101 Fairy Tales Book,Dreamland Publications,4.3,386,233.0,"This volume is a collection of the most memorable fairy tales for young learners. Short and easy adaptations of stories invite young minds to enjoy the world of fantasy, dreams, fairies, elves, princesses, knights, demons and magicians. Popular tales like Cinderella, Beauty and the Beast, Snow White and the Seven Dwarfs, Thumbelina, Sleeping Beauty, Alice in Wonderland, Aladdin, Pinocchio, Peter Pan and more introduce listeners to these cherished characters through a simple and easy-to-follow retelling. Favourites from the animal kingdom are presented in tales like The Jungle Book, Goldilocks and the Three Bears, The Monkey and the Crab, Three Naughty Little Rabbits, Bambi and others.",490.0,[],Very Good,Low,Long,5.9584246,693,both,volume collection memorable fairy tale young learner short easy adaptation story invite young mind enjoy world fantasy dream fairy elf princess knight demon magician popular tale like cinderella beauty beast snow white seven dwarf thumbelina sleeping beauty alice wonderland aladdin pinocchio peter pan introduce listener cherished character simple easy follow retelling favourite animal kingdom presented tale like jungle goldilocks three bear monkey crab three naughty little rabbit bambi others,fairy tale,,fairy tale volume collection memorable fairy tale young learner short easy adaptation story invite young mind enjoy world fantasy dream fairy elf princess knight demon magician popular tale like cinderella beauty beast snow white seven dwarf thumbelina sleeping beauty alice wonderland aladdin pinocchio peter pan introduce listener cherished character simple easy follow retelling favourite animal kingdom presented tale like jungle goldilocks three bear monkey crab three naughty little rabbit bambi others,2,0,1.4620991976317916,-1.2642446570505863,-18.147108,-0.17429909
101 Panchatantra Stories,Om Books International,4.1,237,233.0,"The Panchatantra is a collection of short stories from India, written more than 5,000 years ago! This is a collection of stories from that legendary collection. The stories inculcate moral values in children in a subtle and fun manner. Enjoy the stories, where plants and animals can converse with human beings too!",146.0,"['059 in Audible Audiobooks & Originals', 'Contemporary Fiction', 'Fiction Short Stories', 'Short Stories']",Very Good,Low,Short,5.4722705,315,both,panchatantra collection short story india year ago collection story legendary collection story inculcate moral value child subtle fun manner enjoy story plant animal converse human being,panchatantra story,audible audiobooks original contemporary fiction fiction short story short story,panchatantra story panchatantra collection short story india year ago collection story legendary collection story inculcate moral value child subtle fun manner enjoy story plant animal converse human being audible audiobooks original contemporary fiction fiction short story short story,2,0,0.5792134789699808,-1.231609743385876,-31.523792,13.422179
101 Panchtantra Stories,Dreamland Publications,4.3,1625,233.0,"The Panchatantra is a collection of short stories from India, which was written mainly for children more than 2,000 years ago. This book contains a few hand-picked stories from that legendary collection.",101.0,"['Audible Audiobooks & Originals', 'Fairy Tales', 'Folk Tales & Myths for Children', 'Literature & Fiction for Children', ""Children's Traditional Stories""]",Very Good,Low,Short,7.3938785,203,both,panchatantra collection short story india mainly child year ago contains hand picked story legendary collection,panchtantra story,audible audiobooks original fairy tale folk tale myth child literature fiction child child traditional story,panchtantra story panchatantra collection short story india mainly child year ago contains hand picked story legendary collection audible audiobooks original fairy tale folk tale myth child literature fiction child child traditional story,2,0,0.017066078593770524,-2.328683225508416,-40.113205,-2.248087
101 Power Thoughts,Louise L. Hay,4.4,173,257.0,"Sample Thought: I CAN RELEASE THE PAST AND FORGIVE EVERYONE. I free myself and everyone in my life from old, past hurts. They are free and I am free to move into new, glorious experiences.",490.0,[],Very Good,Low,Long,5.159055,188,both,sample thought release past forgive everyone free everyone life old past hurt free free move new glorious experience,power thought,,power thought sample thought release past forgive everyone free everyone life old past hurt free free move new glorious experience,2,0,0.2706382785658421,-1.135428066720507,14.521488,1.3377256
"12 Months to $1 Million: How to Pick a Winning Product, Build a Real Business, and Become a Seven-Figure Entrepreneur",Ryan Daniel Moran,4.8,201,668.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",490.0,[],Excellent,Medium-Low,Long,5.3082676,228,both,oops rush hour traffic piling please try short trying place order processed time amazon home continue shopping,month million pick winning product build real business become seven figure entrepreneur,,month million pick winning product build real business become seven figure entrepreneur oops rush hour traffic piling please try short trying place order processed time amazon home continue shopping,2,0,-2.2984374835854675,10.647952040459721,2.2875574,61.437054
13 Kaam Jo Samajhdar Log Nahi Karte [13 Commonwealth Games],Amy Morin,4.5,0,668.0,"This book helps us identify 13 common habits that hold us back in life and talks about how to avoid them by using strength, adopting change, facing our fears and training our minds.",498.0,"['Audible Audiobooks & Originals', 'Psychology', '206 in Textbooks & Study Guides']",Excellent,Medium-Low,Long,0.0,181,both,help identify common habit hold back life talk avoid using strength adopting change facing fear training mind,kaam samajhdar log nahi karte commonwealth game,audible audiobooks original psychology textbook study guide,kaam samajhdar log nahi karte commonwealth game help identify common habit hold back life talk avoid using strength adopting change facing fear training mind audible audiobooks original psychology textbook study guide,2,0,0.06981588135029484,-2.0934407450062005,24.58287,-21.884007
13 Steps to Bloody Good Luck,Ashwin Sanghi,4.2,686,501.0,The journey of life isn't exactly easy. Some people make it through hard work and talent. Some fall by the wayside. And some people are just plain lucky. They are blessed with Bloody Good Luck! But is it possible to attract good luck? Can we train ourselves to be lucky? Apparently it seems that Dame Luck isn't that fickle. She is well within our reach.,490.0,[],Very Good,Low,Long,6.5323343,354,both,journey life exactly easy people make hard work talent fall wayside people plain lucky blessed bloody good luck possible attract good luck train lucky apparently seems dame luck fickle well within reach,step bloody good luck,,step bloody good luck journey life exactly easy people make hard work talent fall wayside people plain lucky blessed bloody good luck possible attract good luck train lucky apparently seems dame luck fickle well within reach,2,0,0.08652208155986654,-1.1367493280306975,14.381101,4.2513986
13 Steps to Bloody Good Wealth,Ashwin Sanghi,4.3,319,501.0,The only way to become wealthy is by being born wealthy. Right? Wrong!,260.0,"['141 in Audible Audiobooks & Originals', 'Indian Literature', 'Personal Finance', 'Personal Success']",Very Good,Low,Medium,5.768321,70,both,way become wealthy born wealthy right wrong,step bloody good wealth,audible audiobooks original indian literature personal finance personal success,step bloody good wealth way become wealthy born wealthy right wrong audible audiobooks original indian literature personal finance personal success,2,0,0.22009220156903236,-2.04653562844904,48.085793,2.8419795
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,4.6,1365,10378.0,"Everyone knows that regular exercise and weight training lead to physical strength. But how do we strengthen ourselves mentally for the truly tough times? And what should we do when we face these challenges? Or as psychotherapist Amy Morin asks, what should we avoid when we encounter adversity? Through her years counseling others and her own experiences navigating personal loss, Morin realized it is often the habits we cannot break that are holding us back from true success and happiness. Indulging in self-pity or agonizing over things beyond our control, obsessing over past events, resenting the achievements of others, or expecting immediate positive results all hold us back.",396.0,"['977 in Audible Audiobooks & Originals', 'Business Motivation & Self-Improvement', 'Personal Success', '126 in Analysis & Strategy']",Excellent,High,Medium,7.219642,685,both,everyone know regular exercise weight training lead physical strength strengthen mentally truly tough time face challenge psychotherapist amy morin asks avoid encounter adversity year counseling others experience navigating personal loss morin realized often habit break holding back true success happiness indulging self pity agonizing thing beyond control obsessing past event resenting achievement others expecting immediate positive result hold back,thing mentally strong people take back power embrace change face fear train brain happiness success,audible audiobooks original business motivation self improvement personal success analysis strategy,thing mentally strong people take back power embrace change face fear train brain happiness success everyone know regular exercise weight training lead physical strength strengthen mentally truly tough time face challenge psychotherapist amy morin asks avoid encounter adversity year counseling others experience navigating personal loss morin realized often habit break holding back true success happiness indulging self pity agonizing thing beyond control obsessing past event resenting achievement others expecting immediate positive result hold back audible audiobooks original business motivation self improvement personal success analysis strategy,2,0,0.14756704632482465,-2.3555343590082014,60.664433,-17.891706
"15 Secrets Successful People Know About Time Management: The Productivity Habits of 7 Billionaires, 13 Olympic Athletes, 29 Straight-A Students, and 239 Entrepreneurs",Kevin Kruse,4.5,465,501.0,"New York Times best-selling author Kevin Kruse presents the remarkable findings of his study of ultraproductive people. Based on survey research and interviews with billionaires, Olympic athletes, straight-A students, and over 200 entrepreneurs - including Mark Cuban, Kevin Harrington, James Altucher, John Lee Dumas, Pat Flynn, Grant Cardone, and Lewis Howes - Kruse answers the question: What are the secrets to extreme productivity?",190.0,"['691 in Audible Audiobooks & Originals', 'Time Management & Productivity', 'Business Careers', 'Personal Success']",Excellent,Low,Medium,6.1441855,436,both,new york time best selling kevin kruse present remarkable finding study ultraproductive people based survey research interview billionaire olympic athlete straight student entrepreneur including mark cuban kevin harrington james altucher john lee duma pat flynn grant cardone lewis howe kruse answer question secret extreme productivity,secret successful people know time management productivity habit billionaire olympic athlete straight student entrepreneur,audible audiobooks original time management productivity business career personal success,secret successful people know time management productivity habit billionaire olympic athlete straight student entrepreneur new york time best selling kevin kruse present remarkable finding study ultraproductive people based survey research interview billionaire olympic athlete straight student entrepreneur including mark cuban kevin harrington james altucher john lee duma pat flynn grant cardone lewis howe kruse answer question secret extreme productivity audible audiobooks original time management productivity business career personal success,2,0,0.11330917875531757,-2.0824180135090042,48.92972,-16.174366
168 Hours: You Have More Time Than You Think,Laura Vanderkam,4.3,196,844.0,"There are 168 hours in a week. This book is about where the time really goes, and how we can all use it better. It's an unquestioned truth of modern life: we are starved for time. With the rise of two-income families, extreme jobs, and 24/7 connectivity, life is so frenzied we can barely find time to breathe. We tell ourselves we'd like to read more, get to the gym regularly, try new hobbies, and accomplish all kinds of goals. But then we give up because there just aren't enough hours to do it all. Or else, if we don't make excuses, we make sacrifices. To get ahead at work we spend less time with our spouses. To carve out more family time, we put off getting in shape. To train for a marathon, we cut back on sleep. There has to be a better way - and Laura Vanderkam has found one.",468.0,"['Audible Audiobooks & Originals', 'Time Management', 'Time Management & Productivity', 'Personal Success']",Very Good,Medium-High,Medium,5.2832036,789,both,hour week time really go use better unquestioned truth modern life starved time rise two income family extreme job connectivity life frenzied barely find time breathe tell like get gym regularly try new hobby accomplish kind goal give enough hour else make excuse make sacrifice get ahead work spend less time spouse carve family time put getting shape train marathon cut back sleep better way laura vanderkam found one,hour time think,audible audiobooks original time management time management productivity personal success,hour time think hour week time really go use better unquestioned truth modern life starved time rise two income family extreme job connectivity life frenzied barely find time breathe tell like get gym regularly try new hobby accomplish kind goal give enough hour else make excuse make sacrifice get ahead work spend less time spouse carve family time put getting shape train marathon cut back sleep better way laura vanderkam found one audible audiobooks original time management time management productivity personal success,2,0,-0.02472037870117484,0.10709595891713741,48.3914,-15.1746
1962: The War That Wasn't: The Definitive Account of the Clash Between India and China,Shiv Kunal Verma,4.3,172,1171.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",490.0,[],Very Good,High,Long,5.1532917,228,both,oops rush hour traffic piling please try short trying place order processed time amazon home continue shopping,war definitive account clash india china,,war definitive account clash india china oops rush hour traffic piling please try short trying place order processed time amazon home continue shopping,2,0,-2.645747768732955,12.6005487658155,-11.288845,51.68125
1984,George Orwell,4.5,17140,797.0,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered.",739.0,"['Audible Audiobooks & Originals', 'Dystopian Science Fiction', 'Political Fiction', 'Literary Fiction']",Excellent,Medium-High,Long,9.7492285,287,both,george orwell nightmare vision dystopian world become apt modern chaotic time casting pall oppressive dread first sentence classic take hold imagination stay long last four word uttered,,audible audiobooks original dystopian science fiction political fiction literary fiction,george orwell nightmare vision dystopian world become apt modern chaotic time casting pall oppressive dread first sentence classic take hold imagination stay long last four word uttered audible audiobooks original dystopian science fiction political fiction literary fiction,2,0,0.03252493417793727,-1.7990097929658817,-11.847132,3.2345073
1991: How P. V. Narasimha Rao Made History,Sanjaya Baru,4.2,182,668.0,"P. V. Narasimha Rao (or PV, as he was popularly known) has been widely praised for enabling the economic reforms that transformed the country in 1991. From the vantage point of his long personal and professional association with the former prime minister, best-selling author Sanjaya Baru shows how PV's impact on the nation's fortunes went way beyond the economy.",325.0,"['Audible Audiobooks & Originals', 'Biographies of Presidents & Heads of State', 'Economic History', 'Biographies of Politicians']",Very Good,Medium-Low,Medium,5.209486,364,both,narasimha rao popularly known widely praised enabling economic reform transformed country vantage point long personal professional association former prime minister best selling sanjaya baru show impact nation fortune went way beyond economy,narasimha rao made history,audible audiobooks original biography president head state economic history biography politician,narasimha rao made history narasimha rao popularly known widely praised enabling economic reform transformed country vantage point long personal professional association former prime minister best selling sanjaya baru show impact nation fortune went way beyond economy audible audiobooks original biography president head state economic history biography politician,2,0,0.19196809649688806,-2.520163946937493,16.722332,28.127762
1Q84,Haruki Murakami,4.3,1437,1138.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",490.0,[],Very Good,High,Long,7.2710085,228,both,oops rush hour traffic piling please try short trying place order processed time amazon home continue shopping,,,oops rush hour traffic piling please try short trying place order processed time amazon home continue shopping,2,0,-3.415077851369319,16.83657629358149,-26.236334,63.167747
2 States: The Story of My Marriage,Chetan Bhagat,4.4,1077,568.0,Love marriages around the world are simple: Boy loves girl. Girl loves boy. They get married.,503.0,"['907 in Audible Audiobooks & Originals', 'Indian Literature', 'Romance', '056 in Anthologies']",Very Good,Medium-Low,Long,6.982863,93,both,love marriage around world simple boy love girl girl love boy get married,state marriage,audible audiobooks original indian literature romance anthology,state marriage love marriage around world simple boy love girl girl love boy get married audible audiobooks original indian literature romance anthology,2,0,0.020627294729637202,-1.7093431581196252,-25.629114,17.980543
20 Bedtime Stories For Kids,div.,4.5,0,414.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",490.0,[],Excellent,Low,Long,0.0,122,both,sorry need make sure robot best result please make sure browser accepting cooky,bedtime story kid,,bedtime story kid sorry need make sure robot best result please make sure browser accepting cooky,2,0,-0.1758778231790354,-3.0233380261705727,-27.212214,-25.63244
2001: A Space Odyssey,Arthur C. Clarke,4.6,963,352.0,"This allegory about humanity's exploration of the universe, and the universe's reaction to humanity, was the basis for director Stanley Kubrick's immortal film, and lives on as a hallmark achievement in storytelling.",402.0,"['550 in Audible Audiobooks & Originals', 'Hard Science Fiction', 'Technothrillers', 'Space Opera Science Fiction']",Excellent,Low,Medium,6.8710914,216,both,allegory humanity exploration universe universe reaction humanity basis director stanley kubrick immortal film life hallmark achievement storytelling,space odyssey,audible audiobooks original hard science fiction technothrillers space opera science fiction,space odyssey allegory humanity exploration universe universe reaction humanity basis director stanley kubrick immortal film life hallmark achievement storytelling audible audiobooks original hard science fiction technothrillers space opera science fiction,2,0,0.037896302360793305,-1.767368304134787,-6.9718947,-1.6130555
2019: How Modi Won India,Rajdeep Sardesai,2.5,317,836.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",490.0,[],Below Average,Medium-High,Long,5.7620516,228,both,oops rush hour traffic piling please try short trying place order processed time amazon home continue shopping,modi india,,modi india oops rush hour traffic piling please try short trying place order processed time amazon home continue shopping,2,0,-3.2934637873656,16.158067100764278,-19.656153,61.983273
21 Great Ways to Get Paid More and Promoted Faster,Brian Tracy,4.4,16,468.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",490.0,[],Very Good,Low,Long,2.8332133,122,both,sorry need make sure robot best result please make sure browser accepting cooky,great way get paid promoted faster,,great way get paid promoted faster sorry need make sure robot best result please make sure browser accepting cooky,2,0,0.02586714705346963,-3.5555299710610804,-5.4012074,-41.630802
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2836,1093.0,Brought to you by Penguin.,701.0,"['Audible Audiobooks & Originals', 'Political Science History & Theory', 'United States Politics & Government', 'Political Theory']",Very Good,High,Long,7.9505024,26,both,brought penguin,lesson century,audible audiobooks original political science history theory united state politics government political theory,lesson century brought penguin audible audiobooks original political science history theory united state politics government political theory,2,0,0.2645163813454883,-2.368274834653269,19.284365,24.824436
"21-Day Challenges Box Set 1 - Self Love, Self Confidence, & Happiness",21 Day Challenges,4.8,6,501.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",490.0,[],Excellent,Low,Long,1.9459101,122,advanced_only,sorry need make sure robot best result please make sure browser accepting cooky,day challenge box set self love self confidence happiness,,day challenge box set self love self confidence happiness sorry need make sure robot best result please make sure browser accepting cooky,2,0,-0.13890195307424202,-3.0739163766562436,-7.0686736,-35.42961
22.11.63,Stephen King,4.5,0,971.0,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",490.0,[],Excellent,High,Long,0.0,146,advanced_only,completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,,,completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,2,0,0.8896867381778604,-4.123250187251942,30.087461,-53.753967
2666,Roberto Bolaño,4.1,357,1406.0,"National Book Critics Circle, Fiction, 2009",2355.0,"['144 in Audible Audiobooks & Originals', 'Literary Fiction', '296 in Crime', 'Thriller & Mystery', '054 in Contemporary Fiction']",Very Good,High,Very Long,5.880533,43,both,national critic circle fiction,,audible audiobooks original literary fiction crime thriller mystery contemporary fiction,national critic circle fiction audible audiobooks original literary fiction crime thriller mystery contemporary fiction,2,0,0.10825673070192791,-2.46230983586692,-43.17848,22.711617
